"review_id","place_id","restaurant_name","rating","text","author_name","author_id","author_uri","author_photo_uri","author_is_local_guide","author_review_count","author_photo_count","relative_date","spent_amount","sort_source"
"ChdDSUhNMG9nS0VJQ0FnSUNubE5yaGxBRRAB","0x30e29b4d055a3771:0x25c837d329214aa6","Chic 'n Cheese Dental Clinic คลินิกทันตกรรมชิคแอนด์ชีส",5,"Made a booking half an hour before setting off for my dental, her proficiency is unquestionable, worth every penny spent","Thongchai S.","106171549288904356845","https://www.google.com/maps/contrib/106171549288904356845/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVbUs8tXI2p8syAuSUI4uJW9ktCzpUj5M6YJfMhA3tJwZoiyCzv=w36-h36-p-rp-mo-ba12-br100",1,25,31,"a year ago","Made a booking half an hour before setting off for my dental, her proficiency is unquestionable, worth every penny spent","relevant"
"ChZDSUhNMG9nS0VJQ0FnSURockppY1R3EAE","0x30e29b4d055a3771:0x25c837d329214aa6","Chic 'n Cheese Dental Clinic คลินิกทันตกรรมชิคแอนด์ชีส",5,"Super clinic! The doctor is amazing. She explained everything to me and did very gentle ultrasound cleaning. I am very happy about service. Thank you very much!","Марго М","106509521497585730450","https://www.google.com/maps/contrib/106509521497585730450/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWFyPkN7cEsBc5McxqfD1EMcQD-5zvYMnwNMjBtJrUEC9YMl58=w36-h36-p-rp-mo-br100",0,3,0,"3 years ago","","relevant"
"ChdDSUhNMG9nS0VJQ0FnSUNoNDh2VzNnRRAB","0x30e29b4d055a3771:0x25c837d329214aa6","Chic 'n Cheese Dental Clinic คลินิกทันตกรรมชิคแอนด์ชีส",5,"Any English speakers looking for a clean, friendly and English speaking dentistry I very much recommend Chic 'n Cheese Dental Clinic. I was heavily delighted when I arrived and found they speak perfect English and are sooo friendly. GO HERE!","Caelan R","102533357407070421712","https://www.google.com/maps/contrib/102533357407070421712/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXR6t9irwf6UhAkVzdH7GM8_eXeOTeaMNM2_lOvtpS3WqG6TJEb=w36-h36-p-rp-mo-br100",0,2,0,"3 years ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25kdGVXRlpUMEpqWVVWaVZYUnphV0p6WDBkelZtYxAB","0x30e29b4d055a3771:0x25c837d329214aa6","Chic 'n Cheese Dental Clinic คลินิกทันตกรรมชิคแอนด์ชีส",5,"My first dental visit here was for a teeth cleaning. The dentist was very gentle and gave great advice on oral care. After that, I was already planning to get braces again and had already booked and paid a deposit at another clinic, but I switched to this clinic because the orthodontist here is a specialist. The dentist is lovely and very friendly. I highly recommend this clinic! 😍😍😍😍","MIhk Eenap","101454226993139555522","https://www.google.com/maps/contrib/101454226993139555522/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXFSwcM5pyZKQEvhZ8f4JLgMH7jmsnao0w3Cl5OcbYNZOQnmNg=w36-h36-p-rp-mo-br100",0,1,1,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25aWlJWOW1jR3RPVmt4alRFNW1jekZZYlhSYVJFRRAB","0x30e29b4d055a3771:0x25c837d329214aa6","Chic 'n Cheese Dental Clinic คลินิกทันตกรรมชิคแอนด์ชีส",5,"The doctor was kind, gentle, and very attentive. They explained every step of the process. All the staff were lovely. The atmosphere was great, and parking was convenient. I've recommended this place to many people. ❤️","Duangnapa K.","106726268460409468314","https://www.google.com/maps/contrib/106726268460409468314/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVYa1VSyZbN2x7zi8NbIkDupvqh3iFVxmbiMf8oiikGC6vFO3Jk=w36-h36-p-rp-mo-ba12-br100",1,10,62,"6 months ago","","relevant"
"ChZDSUhNMG9nS0VJQ0FnSUR2OXBQOE5REAE","0x30e29b4d055a3771:0x25c837d329214aa6","Chic 'n Cheese Dental Clinic คลินิกทันตกรรมชิคแอนด์ชีส",5,"This was my first time getting my teeth cleaned by the dentist. The staff were very helpful, the clinic was clean, and most importantly, the dentist was incredibly gentle – it didn't hurt at all! I used my social security benefits and only paid 50 baht for the entire service. 🤩💗

They even gave me a free gift after the service. Thank you so much! 🙏🏻","บอตอ","112958574252482554532","https://www.google.com/maps/contrib/112958574252482554532/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVpAzjGbWEnEyaRjzNlIKHvQjFZAKEGf1a_vODsFTUwemoKB-I=w36-h36-p-rp-mo-br100",0,5,8,"a year ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2kxc1NYQXhiWGN4WjFkeVJqbFVjWFpwTVVwSldsRRAB","0x30e29b4d055a3771:0x25c837d329214aa6","Chic 'n Cheese Dental Clinic คลินิกทันตกรรมชิคแอนด์ชีส",5,"The doctor and assistant were lovely, providing excellent service and advice. There's parking available, and the service fee is affordable. 😍😍😍 I came for orthodontic treatment, and the doctor gave great advice and answered all my questions. …","Matthana Matphum","100012446010677798172","https://www.google.com/maps/contrib/100012446010677798172/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX-K0bZt6lS5L0Ap4tVMXfpqsa9Wsh-klGwFiaOywniA7XUteZP=w36-h36-p-rp-mo-br100",0,5,11,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2pGQloyWlJjbmRDTldoVmJqVkpXbXRhWW10UUxYYxAB","0x30e29b4d055a3771:0x25c837d329214aa6","Chic 'n Cheese Dental Clinic คลินิกทันตกรรมชิคแอนด์ชีส",5,"The doctor has a very gentle hand! 😍 She explained every step in an easy-to-understand manner, without rushing me, making me feel confident from the very first day.
The price is also reasonable, and they always have great promotions. 💸","Chaiyachet Phuttha","112188237980570546409","https://www.google.com/maps/contrib/112188237980570546409/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjXiCgX5ruskg9aoziULm5HpdGty5aN_lk0XdQ5Z7plbilZsJ6dc=w36-h36-p-rp-mo-br100",0,1,1,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT2xsNlRERmlXbTV0VTBGTExXNDBOM1Z5YTFVMVUyYxAB","0x30e29b4d055a3771:0x25c837d329214aa6","Chic 'n Cheese Dental Clinic คลินิกทันตกรรมชิคแอนด์ชีส",5,"I recommend Chic&Cheese Dental Clinic. It has parking, the clinic is clean, the doctors are kind, and the admin responds quickly on Line. Since coming here, I haven't gone to any other clinics. My mother is still impressed, so she had to move here.","Nutchaya Boonnak","111870097897454053573","https://www.google.com/maps/contrib/111870097897454053573/reviews?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjVNehgxzRlF11MsKjkEd7d8DxEH8x9rHHQScv5QZt53KyAHL0lp=w36-h36-p-rp-mo-br100",0,1,2,"8 months ago","","relevant"
"Ci9DQUlRQUNvZENodHljRjlvT25WQ2FtSlBNMGxoWWxaSE16QkdkVmRhT0Rad2RrRRAB","0x30e29b4d055a3771:0x25c837d329214aa6","Chic 'n Cheese Dental Clinic คลินิกทันตกรรมชิคแอนด์ชีส",5,"There's a dental clinic near my house with parking available in front of the clinic. The clinic fee is 50฿ and is reimbursable through social security.","P. N","103201385958387928340","https://www.google.com/maps/contrib/103201385958387928340/reviews?hl=en","https://lh3.googleusercontent.com/a/ACg8ocKue-Ke1rC932-vp3mOd5oh9wWudFAseIryo0q6Lgeo-87zFg=w36-h36-p-rp-mo-ba12-br100",1,8,37,"8 months ago","There's a dental clinic near my house with parking available in front of the clinic. The clinic fee is 50฿ and is reimbursable through social security.","relevant"
